# rootcrown_ram
请勿践踏冒险者|草地上的告示，终于换了一个收件人。
今天不顶班|它很有冲劲，可惜方向需要重新考虑。
角逐冠军|颁奖台只够站一个，羊角算违章加盖。
根须够不到的地方|它把根扎得很深，你仍找到了天空。
烤全羊只是传闻|火已经备好，故事却没有按菜谱发展。
红角不等于红灯|它以为那是警告，你把它当作了终点。
病树前头|旧根盘踞的地方，终于容得下一株新芽。
羊也有失蹄时|顶着光环，仍须看路。
金角不保值|森林没有交易所，王冠也没有保底价。
请把远光关掉|那对角太耀眼，以至于看不见脚下。
羊群之外的醒者|数到最后一只羊时，你没有睡着。
这片草归风了|没有角抵着的清晨，连草也敢抬头。
# forest_slime
果冻不接受道歉|它晃了很久，最后还是没能把道理晃明白。
弹性有待商榷|生活教会它反弹，你教会它落地。
软实力到此为止|森林第一次发现，软也可以是一种逞强。
深绿处的句号|林荫把声音吞下，你留下了最后一笔。
请勿高温存放|包装上没有写的事，森林替它记住了。
草莓味是误会|颜色不能证明配方，勇气也不能代替常识。
保质期的尽头|不是所有长满绿色的东西，都还活着。
圣水也会凝固|被祝福过的弹性，仍有自己的极限。
这不是翡翠|珠宝商没有来，你也没打算等。
一地碎光|树叶漏下的阳光，终于不用再绕过它。
梦见一口森林|醒来后，嘴里只剩青草与胜利的气息。
森林恢复松软|路重新能走，脚步不再需要征求果冻同意。
# black_slime
墨水用完了|黑夜想多写几行，你提前合上了笔盖。
黑得很有分量|影子也会沉，尤其在它不肯让路的时候。
不粘锅理论|谁也没带锅，但这场争论总算结束了。
比黑更深的沉默|深处没有回应，因为你已问到最后。
焦糖不是这个色|厨师拒绝签字，冒险者负责善后。
红与黑的退稿|两种颜色争了很久，纸最终留给了黎明。
墨池换水|沉积太久的东西，不能永远叫作传统。
白光照不到的脾气|它拒绝变白，你也没打算替它漂洗。
黑金谢绝炒作|罕见并不自动等于值得收藏。
反光不代表前途|它曾亮得像答案，落地后仍是一团疑问。
今晚不用留灯|床底下的黑暗，已经知道你的名字。
留白也是结局|那团最浓的墨散去，世界多出一小块空白。
# dawntide_crocodile
清晨禁止张嘴|河岸终于能说话，不必先数对面的牙。
皮厚不是理由|它的防线很长，你的意见很明确。
岸上不设王座|离开水面以后，称号需要重新审核。
深水暂停营业|那张常年开着的嘴，今天挂上了歇业牌。
沸水不留客|河道滚烫，你还是把路走了回来。
血潮退订|它送来的晨报太红，你拒绝续费。
旧鳞落尽|水会记住伤口，也会学着洗净它。
河神请排队|今天的通行权，不归最亮的鳞片。
镀金牙医|没有预约，也没人愿意留在诊室。
晨光不必借鳞|太阳升起以后，河面自己会亮。
梦渡无牙河|船还没来，你已不必害怕对岸。
潮来它不来|渔人照常出门，少问了一句天气以外的话。
# shadow_wolf_king
月下少一声|山谷没变小，只是回声终于不那么拥挤。
犬科谢绝大声|嗓门能传很远，未必能传到胜利那边。
头狼也需让行|路权没有写在獠牙上。
回声找不到主人|你向深处走时，那声长嚎开始退后。
冥犬今天休假|地狱少了一位门卫，月亮没有追问。
红月不是饭点|它以为夜色已经摆好餐桌。
狼顾之后|它身后有太多阴影，你让森林看见了空处。
月光不封王|被照亮的獠牙，并没有比别的更高贵。
金牙不包终身|山里没有售后，只有继续向前的脚印。
群星不随嚎|它喊得再响，天上的座次也没有改变。
月亮不再替它圆谎|梦中的狼影散去，月色第一次没有藏起牙印。
晚安不必低声|营火旁的人，终于敢把最后一句话说完。
# shattertide_crab
横着走到头了|海岸很宽，也不是每一步都归它管。
钳制关系解除|你不喜欢这份握手礼，它终于松开了。
八条腿也赶不上|路很多，结局却只有一个。
海底不讲横理|潮声再大，也盖不过落锤的那一下。
蒸汽不等于开席|岸边的人拿来盘子，你让他们先拿担架。
红壳未必熟了|颜色不能替勇气验明正身。
换壳之前|有些旧东西，海水冲了很久也没冲掉。
圣钳请松手|祝福不是扣住整片海岸的许可证。
金壳不带找零|你付出的不是钱，它还不了。
沙滩停止闪烁|终于能看清脚印，而不是满地的炫耀。
梦里也要直着走|那条弯了太久的海岸线，在你脚下松开了。
潮水收回钳印|明天的沙滩，不必记得每一道威胁。
# death_knight
下马谈谈|它迟到了很多年，这次总算赴了最后一场约。
铠甲里的空响|声音很重，回答却轻得像一阵风。
骑士资格复审|誓言没有过期，持有者需要重新签名。
马蹄停在深处|那条通往黑暗的路，终于少了一位熟客。
不再替地狱赶路|马卸下看不见的缰，火也没能叫它回头。
赤誓到期|血写下的契约，也有最后一页。
锈不是勋章|时间替他穿上了许多层，你一层层问到沉默。
请归还那道光|借来的圣洁，终究照不亮空的胸膛。
金甲不抵旧债|铠甲可以重铸，欠下的告别不能。
荣光需要呼吸|它亮得像凯旋，却没有人能在里面欢呼。
梦醒卸甲|有人终于可以不再骑着昨天赶路。
最后一次下马|路边没有授勋的人，只有等了很久的安静。
# scholar_ga
本文不予通过|论点很响，答辩现场却出现了反例。
大力出不了真知|他加重了语气，你补上了论据。
同行不必是冤家|只是这次审稿意见，稍微锋利了一点。
深渊也要查重|引用黑暗太多，并不会让结论更新。
请勿焚烧审稿人|温度不能提高论文的可信度。
红笔用完之前|他以为那是批注，你知道那是警告。
学术垃圾分类|不是每一堆陈旧的东西，都该叫作积累。
权威不是护身符|封面上的头衔，没能替正文挡住质疑。
经费不能续命|这项研究的最后一笔支出，是沉默。
影响因子归零|光芒散去之后，留下的仍须经得起追问。
梦里也要答辩|醒来的人带走了结论，没带走他的同意。
噶然而止|这场讲座的结束方式，出乎主讲人的预料。
# skeleton_general
骨干也要休息|它带的队伍很硬，假条却一直没批下来。
硬仗硬着打|双方都没退让，只有一方还能完整地点头。
将军的散会令|最后一声号令，终于没人需要执行。
深处不再点兵|黑暗翻遍名册，也没等到那声应到。
白骨不添柴|火想留下它，你替它拒绝了。
军旗无需染红|风把旗吹开，里面不必再裹着旧命令。
朽令作废|不是所有从坟里传来的话，都值得再服从一次。
圣骨不是豁免证|站得再端正，也不能替昨天免罪。
镶金不补钙|军需官的建议，从一开始就偏了方向。
阅兵到此结束|满地光芒，没有一根还能立正。
不必梦回沙场|那双没有眼睛的眼眶，终于不再朝向战线。
解甲不归田|他已经没有田可归，好在也不必再出征。
# dungeon_warden
门卫换班|没有通行证，你仍把门后的风带了出来。
钥匙并不万能|有些锁最后学会的，是尊重敲门的人。
值班表到此为止|它守了很久，你替它划掉了明天。
地下没有加班费|越往深处，越没人解释为什么不能离开。
出口不在火里|它指的方向很热，你选了自己的一条。
红线之外|它画过许多禁区，最后站进了自己的。
旧锁长出锈花|牢门关得太久，连钥匙也忘了天空。
神也该留扇门|所有庄严的禁令，都不该封死回家的路。
金钥匙开不了明天|它拥有每一道锁，却没有下一班日程。
