ACH_A09 四种思路 | 本世分别实际使用过四种普通技能专精的合法配置
ACH_A12 初窥门径 | 本世到达Lv.10对应实力节点
ACH_A13 更远的地方 | 本世到达Lv.20对应实力节点
ACH_A14 三十而行 | 本世到达Lv.30对应实力节点
ACH_A15 第一道门 | 首次通过本人路线的正式大阶段晋境
ACH_A17 更深一层 | 本世完成普通二转的正式资格与选择
ACH_A18 行家入门 | 本世任一普通副职业达到Lv.3
ACH_A19 熟能生巧 | 本世任一普通副职业达到Lv.5
ACH_A20 炉边十年 | 本世任一普通副职业达到当前Lv.11上限
ACH_A23 别来无恙 | 首次PVE战败醒来后，完成一场合格PVE胜利
ACH_A24 七日行旅 | 在7个不同自然日完成至少一项战斗/采集/制作/正式任务
ACH_A25 三十日见闻 | 在30个不同自然日完成上述真实活动，不要求连续
ACH_B03 十战磨锋 | 合格PVE胜利10场
ACH_B04 百战余温 | 合格PVE胜利100场
ACH_B05 千战行者 | 合格PVE胜利1000场
ACH_B07 狩猎精英 | 合格击败20个不同生命实例的精英
ACH_B09 首领见证人 | 击败5种不同正式首领模板
ACH_B10 旧敌新知 | 击败10种不同正式敌人模板
ACH_B11 百怪行记 | 击败100种不同正式敌人模板
ACH_B22 一敌多形 | 在一场多部位首领战中对2个不同有效部位造成实际伤害并胜利
ACH_B23 先折其翼 | 在有对应规则的首领战中，先破坏指定部位再击败本体
ACH_B24 重整旗鼓 | 同一生命实例上战败或撤退后，合法再次挑战并取得胜利
ACH_B25 归来仍少年 | 本世首次首领胜利前未触发任何PVE战败结算
ACH_C05 不让你倒下 | 对低于30%最大HP的队友完成一次有效技能治疗
ACH_C07 尘毒尽去 | 在正式PVE中净化一次可净化DOT
ACH_C08 封住这一招 | 用合法打断机制实际中断一次敌方吟唱
ACH_C09 趁其未发 | 在敌方已公开预告的高威力行动结算前击败该敌并获胜
ACH_C10 破盾者 | 本人实际打空一次敌方正值护盾
ACH_C11 余烬收尾 | 本人施加的DOT造成正式敌人的最后实际HP损失并获胜
ACH_C14 以小博大 | 击败兼容等级高于本人至少2级的非教学正式敌人
ACH_C15 留一口气 | 获胜时本人HP大于0且不超过最大HP的10%，排除刻意友方伤害
