家园屋顶漏雨·规则照不到的地方|一名冒险者家屋顶漏雨，隔壁老人家的屋顶也漏；木匠今晚只接一单。在“家园屋顶漏雨”映出的裂隙中，邻里之间没有纯粹私人的后果，一个人的安稳常会流入另一个人的风雨。当倒影被命名为“家园屋顶漏雨”，规则能够保持一致，却无法保证每个被规则触及的人都受到公正对待。|体>精:所有宏大目标最终都要由会疲惫、会受伤的身体承担。因此我选择先修老人屋，自己家晚一夜；我接受和解不会立刻到来。|精>力:面对这段倒影，我选择问老人是否愿共用临时雨棚。沉默不等于同意，让当事人保有声音才使善意不至于越界；我接受边界不能立刻建立。|力>智:无法两全时仍须有人署名定夺，责任不能被推给更弱者。因此我选择自己先爬屋补洞，不等木匠；我接受因果尚未完全查清。|智>敏:面对这段倒影，我选择算两屋漏点和材料再排。未经核实的确信只会让错误披上正义外衣，事实必须先于结论；我接受行动不得不慢下来。|敏>感:时机本身就是因果，迟到的正确无法挽回已经发生的损失。因此我选择跑去找第二个木匠，不查屋顶；我接受直觉仍在发出相反提醒。|感>体:面对这段倒影，我选择先看哪处漏到床铺，不安抚抱怨。真相常藏在不合常理的小处，细微异常也可能保存完整证词；我接受眼前安稳不再优先。
仓房多了一把锁·怜悯与尊严|家园仓房门上多了陌生小锁，里面物品没少；帮一名冒险者照看家的朋友说没碰过。“仓房多了一把锁”没有留下裁决，只让这一事实显露出来：归属不是占有的证明，而是愿意对共同生活造成的后果负责。透过“仓房多了一把锁”，片段把被忽略之物推到眼前：恐惧提醒人保存自己，也会诱使人把陌生者先写成危险。|体>敏:我会先把必需药物搬出仓房。这份选择承认，伤痛不会因目标正确便失去重量，具体生命必须先被接住；我接受变通空间随之缩小。|精>感:我无愧于请朋友一起回忆谁来过这一选择。共同承担不是把代价摊薄，而是不让最沉默的人独自负重；我接受仍有隐情未被辨明。|力>体:我会换掉门锁并封门。这份选择承认，伤害若不被明确拒绝，退让便会成为下一次伤害的许可；我接受身体与资源要承受额外压力。|智>精:我无愧于核钥匙、租借和访问记录这一选择。未经核实的确信只会让错误披上正义外衣，事实必须先于结论；我接受这份决定无法让所有人心安。|敏>力:我会去找锁匠开锁。这份选择承认，完美方案若永远停在准备中，便只是逃避行动的体面名字；我接受暂不以强力终结争执。|感>智:我无愧于看锁上是否有使用痕这一选择。真相常藏在不合常理的小处，细微异常也可能保存完整证词；我接受这未必是计算中的最优解。
菜园夜里发光·被推迟的后果|自家菜园夜里泛淡蓝光，邻居孩子想来看，园里的萝卜仍正常长。家园划出归属的边界，也随之产生谁能进入、谁必须离开的权力；这正是“菜园夜里发光”无法替任何人抹去的部分。各方都握有足以自辩的理由，真正留下的只是决定者愿不愿亲自承担损失；自“菜园夜里发光”发生以后，沉默也带有了方向。|体>力:我接受暂不以强力终结争执。我仍选择先围起来防孩子误触，因为所有宏大目标最终都要由会疲惫、会受伤的身体承担。|精>智:向邻居说明未知风险。我看破了这一层：沉默不等于同意，让当事人保有声音才使善意不至于越界；我接受这未必是计算中的最优解。|力>敏:我接受变通空间随之缩小。我仍选择铲掉发光菜株，因为无法两全时仍须有人署名定夺，责任不能被推给更弱者。|智>感:取土测法术残留。我看破了这一层：未经核实的确信只会让错误披上正义外衣，事实必须先于结论；我接受仍有隐情未被辨明。|敏>体:我接受身体与资源要承受额外压力。我仍选择先搬孩子去别处玩，因为完美方案若永远停在准备中，便只是逃避行动的体面名字。|感>精:观察蓝光只在叶还是土。我看破了这一层：真相常藏在不合常理的小处，细微异常也可能保存完整证词；我接受这份决定无法让所有人心安。
床位给客人·不可替代之物|朋友受伤来借住，家里只有一张床，一名冒险者明早要值早班，他坚持睡地上。“床位给客人”让旁观者无从退回无知，因为共同体以互助为名彼此支撑，也可能让拒绝奉献的人失去被接纳的位置。“床位给客人”最终保存的不是答案，而是这项无法回避的事实：承诺与新知发生冲突后，忠诚不再是服从，而是敢于重新审视最初的誓言。|体>感:面对这段倒影，我选择让他睡床，自己可能睡不好。伤痛不会因目标正确便失去重量，具体生命必须先被接住；我接受某些细节会留在暗处。|精>体:共同承担不是把代价摊薄，而是不让最沉默的人独自负重。因此我选择听他为什么不愿占床；我接受生存保障暂时后退。|力>精:面对这段倒影，我选择直接把他扶上床。无法两全时仍须有人署名定夺，责任不能被推给更弱者；我接受关系会留下裂痕。|智>力:规则若不计算沉默者承担的代价，精确也会成为稳定重复错误的工具。因此我选择找厚垫与轮流睡方案；我接受放下强行定夺的权力。|敏>智:面对这段倒影，我选择去邻居借折叠床。完美方案若永远停在准备中，便只是逃避行动的体面名字；我接受理性暂时得不到整齐答案。|感>敏:真相常藏在不合常理的小处，细微异常也可能保存完整证词。因此我选择看他是否能安全躺地；我接受错过最快的时机。
家具会发热·答案消失以后|一名冒险者新买的木柜夜里自发发热，箱内放着家人的信；卖家说正常附魔。在名为“家具会发热”的记忆里，守护熟悉之物并非天然正确，因为每一堵墙都同时决定墙外之人的处境。照料身体、守住关系、执行意志、辨明因果、抓住时机与洞察隐情无法同时圆满；“家具会发热”使这层代价再也无法藏回惯例之中。|体>智:我无愧于先把人从柜旁床位移开这一选择。伤痛不会因目标正确便失去重量，具体生命必须先被接住；我接受理性暂时得不到整齐答案。|精>敏:我会先收好家人的信。这份选择承认，共同承担不是把代价摊薄，而是不让最沉默的人独自负重；我接受错过最快的时机。|力>感:我无愧于断掉附魔并移柜出屋这一选择。无法两全时仍须有人署名定夺，责任不能被推给更弱者；我接受某些细节会留在暗处。|智>体:我会测温度与发热周期。这份选择承认，未经核实的确信只会让错误披上正义外衣，事实必须先于结论；我接受生存保障暂时后退。|敏>精:我无愧于跑去找卖家，不查柜底这一选择。时机本身就是因果，迟到的正确无法挽回已经发生的损失；我接受关系会留下裂痕。|感>力:我会看热源在柜板哪一层。这份选择承认，真相常藏在不合常理的小处，细微异常也可能保存完整证词；我接受放下强行定夺的权力。
田埂共用水·必要之恶的名字|两户共用水渠，今天上游户先浇花，下游户种的是食用菜；水只够一家浇透。在“田埂共用水”映出的裂隙中，邻里之间没有纯粹私人的后果，一个人的安稳常会流入另一个人的风雨。当倒影被命名为“田埂共用水”，规则能够保持一致，却无法保证每个被规则触及的人都受到公正对待。|体>精:先浇可吃的菜。我看破了这一层：伤痛不会因目标正确便失去重量，具体生命必须先被接住；我接受关系会留下裂痕。|精>力:我接受放下强行定夺的权力。我仍选择请两户约定轮流，因为共同承担不是把代价摊薄，而是不让最沉默的人独自负重。|力>智:临时关上游阀放水下行。我看破了这一层：无法两全时仍须有人署名定夺，责任不能被推给更弱者；我接受理性暂时得不到整齐答案。|智>敏:我接受错过最快的时机。我仍选择按作物需水量分时，因为眼前有效不等于长久正确，未被计算的后果终会从未来回来索债。|敏>感:找井水补另一户。我看破了这一层：旧路已经制造眼前困局，改变方向才能为未来保留新的出口；我接受某些细节会留在暗处。|感>体:我接受生存保障暂时后退。我仍选择看土地哪边更干，因为真相常藏在不合常理的小处，细微异常也可能保存完整证词。
蜂箱跑出蜂群·命运没有署名|家园蜂箱开裂，蜂群停在邻居窗边，邻居有花粉过敏史。“蜂箱跑出蜂群”没有留下裁决，只让这一事实显露出来：归属不是占有的证明，而是愿意对共同生活造成的后果负责。透过“蜂箱跑出蜂群”，片段把被忽略之物推到眼前：恐惧提醒人保存自己，也会诱使人把陌生者先写成危险。|体>敏:脆弱不是被排到最后的理由，保护生命正是责任最先抵达之处。因此我选择先关窗护邻居；我接受行动不得不慢下来。|精>感:面对这段倒影，我选择向邻居道歉请他别惊蜂。关系不是结果之后的装饰，被理解本身就是不可替代的需要；我接受直觉仍在发出相反提醒。|力>体:伤害若不被明确拒绝，退让便会成为下一次伤害的许可。因此我选择封住裂蜂箱；我接受眼前安稳不再优先。|智>精:面对这段倒影，我选择判断蜂群是否会自归。眼前有效不等于长久正确，未被计算的后果终会从未来回来索债；我接受和解不会立刻到来。|敏>力:时机本身就是因果，迟到的正确无法挽回已经发生的损失。因此我选择找养蜂人赶来；我接受边界不能立刻建立。|感>智:面对这段倒影，我选择看蜂王是否在窗边。真相常藏在不合常理的小处，细微异常也可能保存完整证词；我接受因果尚未完全查清。
收获的第一筐·共同体的裂缝|庄稼收获第一筐，孩子想送给曾借种子的邻居，家里粮缸却见底。家园划出归属的边界，也随之产生谁能进入、谁必须离开的权力；这正是“收获的第一筐”无法替任何人抹去的部分。各方都握有足以自辩的理由，真正留下的只是决定者愿不愿亲自承担损失；自“收获的第一筐”发生以后，沉默也带有了方向。|体>力:我会先留足家人今晚饭。这份选择承认，所有宏大目标最终都要由会疲惫、会受伤的身体承担；我接受边界不能立刻建立。|精>智:我无愧于分半筐谢邻居，不细算产量这一选择。共同承担不是把代价摊薄，而是不让最沉默的人独自负重；我接受因果尚未完全查清。|力>敏:我会拒绝送出第一筐，等秋末再谢。这份选择承认，伤害若不被明确拒绝，退让便会成为下一次伤害的许可；我接受行动不得不慢下来。|智>感:我无愧于算总收成再决定礼数这一选择。未经核实的确信只会让错误披上正义外衣，事实必须先于结论；我接受直觉仍在发出相反提醒。|敏>体:我会今天先去问邻居是否缺粮。这份选择承认，完美方案若永远停在准备中，便只是逃避行动的体面名字；我接受眼前安稳不再优先。|感>精:我无愧于看种子借条是否约定返还这一选择。真相常藏在不合常理的小处，细微异常也可能保存完整证词；我接受和解不会立刻到来。
院里的迁徙鸟·无辜者的价格|迁徙鸟在一名冒险者院里筑巢，屋顶修理要拆那片瓦；修迟会漏雨，拆早会毁蛋。“院里的迁徙鸟”让旁观者无从退回无知，因为共同体以互助为名彼此支撑，也可能让拒绝奉献的人失去被接纳的位置。“院里的迁徙鸟”最终保存的不是答案，而是这项无法回避的事实：承诺与新知发生冲突后，忠诚不再是服从，而是敢于重新审视最初的誓言。|体>感:我接受仍有隐情未被辨明。我仍选择先搭屋内防漏棚等孵化，因为所有宏大目标最终都要由会疲惫、会受伤的身体承担。|精>体:请家人接受等鸟离巢。我看破了这一层：共同承担不是把代价摊薄，而是不让最沉默的人独自负重；我接受身体与资源要承受额外压力。|力>精:我接受这份决定无法让所有人心安。我仍选择移巢立即修瓦，因为无法两全时仍须有人署名定夺，责任不能被推给更弱者。|智>力:估孵化期和降雨天。我看破了这一层：眼前有效不等于长久正确，未被计算的后果终会从未来回来索债；我接受暂不以强力终结争执。|敏>智:我接受这未必是计算中的最优解。我仍选择先改修别处，暂不碰巢，因为旧路已经制造眼前困局，改变方向才能为未来保留新的出口。|感>敏:观察蛋是否已接近孵化。我看破了这一层：真相常藏在不合常理的小处，细微异常也可能保存完整证词；我接受变通空间随之缩小。
泥脚印进屋·有限中的承担|雨后家门口多了小泥脚印，一路到厨房又折返，饼干少了两块。在名为“泥脚印进屋”的记忆里，守护熟悉之物并非天然正确，因为每一堵墙都同时决定墙外之人的处境。照料身体、守住关系、执行意志、辨明因果、抓住时机与洞察隐情无法同时圆满；“泥脚印进屋”使这层代价再也无法藏回惯例之中。|体>智:面对这段倒影，我选择先留点食物防饿者再来偷。所有宏大目标最终都要由会疲惫、会受伤的身体承担；我接受这未必是计算中的最优解。|精>敏:共同承担不是把代价摊薄，而是不让最沉默的人独自负重。因此我选择给来者留张可以求助的字条；我接受变通空间随之缩小。|力>感:面对这段倒影，我选择换锁防再次入屋。无法两全时仍须有人署名定夺，责任不能被推给更弱者；我接受仍有隐情未被辨明。|智>体:未经核实的确信只会让错误披上正义外衣，事实必须先于结论。因此我选择查门闩与进出时间；我接受身体与资源要承受额外压力。|敏>精:面对这段倒影，我选择沿脚印快找人。时机本身就是因果，迟到的正确无法挽回已经发生的损失；我接受这份决定无法让所有人心安。|感>力:真相常藏在不合常理的小处，细微异常也可能保存完整证词。因此我选择辨是孩子、树精还是契兽；我接受暂不以强力终结争执。
